1,73,"Aratto Oy",2015,1,"2015-02-10",,"2015-02-17",,,"2015-02-17","huom 2014 selv. Tili",,"2.5","2015-12-31"
2,95,"As Oy Mesikukankuja 2-4",2015,1,,,,,,,,,,"2015-12-31"
3,81,"As Oy Tullirinne 1",2015,1,,,,,,,,,,"2015-12-31"
4,55,"Autoks Finland Oy",2015,1,,"2015-02-20","2015-02-20","2015-02-20",,"2015-02-20","reskontra tehty",,13,"2015-07-31"
5,22,"Automaalaamo Leinonen Oy ",2015,1,"2015-02-26",,"2015-03-03","2015-03-03",,"2015-03-03","tehty palkkajaksotus vuodelta 2014",,"2.5","2015-11-30"
6,84,"Bwsol Oy",2015,1,"2015-02-17",,"2015-02-20",,,"2015-02-20",,,2,"2015-12-31"
7,12,"Carelia Partners Oy",2015,1,"2015-02-05",,"2015-02-17","2015-02-17",,"2015-02-17",,,10,"2015-02-28"
8,30,"DT Trading Oy",2015,1,"2015-02-03",,,,,,"tehty maestrolla",,4,"2015-12-31"
9,49,"Hannehelp Oy",2015,1,"2015-02-04",,,,,,,,,"2015-06-30"
10,62,"Helsingin Hanahuolto Oy",2015,1,"2015-02-03",,,,,,"maestrolla",,5,"2015-12-31"
11,97,"JKP Yhtiöt Oy",2015,1,,,,,,,,,,"2015-12-31"
12,34,"JPS Maalaus Oy",2015,1,"2015-02-27",,"2015-03-03","2015-03-03","2015-03-03","2015-03-03","helmikuun tyel ilmoitus tehty",,4,"2015-09-30"
13,25,"K-U:n Taksipalv.Lasse Harjama",2015,1,"2015-03-03",,"2015-03-04",,,"2015-03-04","kassaseuranta aloitettu",,3,"2015-12-31"
14,83,"Kiint Oy Väärämäentie 3",2015,1,,,,,,,,,,"2015-06-30"
15,59,"Koneurakointi V.Laakso",2015,1,"2015-02-25",,"2015-03-02","2015-03-02",,"2015-03-02",,,3,"2015-12-31"
16,87,"Lakiasiantoimisto Koskinen",2015,1,"2015-02-17",,,,,,,,,"2015-12-31"
17,3,"Mansepori Oy",2015,1,"2015-02-12",,,,,,,,,"2015-02-28"
18,6,"Markkinointi-Bellezza Oy",2015,1,"2015-02-05",,,,,,,,1,"2015-03-31"
19,89,"Nove Ventures",2015,1,"2015-02-06",,"2015-02-13",,,"2015-02-13","tehty 2014 kulukorvauserittely",,4,"2015-12-31"
20,65,"OK Carpenters Oy",2015,1,"2015-03-10",,"2015-03-10",,,"2015-03-10","pyydetty verokorttia",,3,"2015-12-31"
21,7,"Previso Oy",2015,1,"2015-02-12",,,,,,,,,"2015-12-31"
22,17,"Pro Balance Oy",2015,1,"2015-02-11",,,,,,,,2,"2015-08-31"
23,5,"Rakennusliike Veli Jaakola Oy",2015,1,"2015-02-05",,"2015-02-09",,,,,,1,"2015-03-31"
24,93,"RST Remontti Oy",2015,1,"2015-02-04",,"2015-02-09",,,,,,1,"2015-12-31"
25,28,"Sampo Dive",2015,1,"2015-03-11","2015-03-11","2015-03-11",,,"2015-03-11","eu-myyntiä myöhässä",,"3.5","2015-12-31"
26,36,"Sawaxe Oy",2015,1,"2015-02-05",,,,,,"ei ilmoitettu, kaskimatti myyntilasku puuttuu",,3,"2015-06-30"
27,27,"Scanfore Oy",2015,1,"2015-02-24",,,,,,,,,"2015-12-31"
28,92,"SDR Dynamics Oy",2015,1,"2015-02-09",,"2015-02-12",,,"2015-02-12",,,"0.5","2015-12-31"
29,80,"Setora Rakennus Oy",2015,1,"2015-02-20",,"2015-02-23",,,,,,2,"2015-12-31"
30,70,"Success Solutions",2015,1,,,,,,,,,,"2015-12-31"
31,8,"Taikalinssi Oy",2015,1,"2015-02-17",,"2015-02-23",,,"2015-02-23",,,2,"2015-12-31"
32,23,"Taksipalvelu Pekka Luuk",2015,1,"2015-02-11",,"2015-02-18",,,,,,3,"2015-12-31"
33,96,"Tavarantarkastajayhd. HTT ry",2015,1,,,,,,,,,,"2015-09-30"
34,"ulko","TR Kielimatkat Oy",2015,1,,,,,,,,,,"2015-12-31"
35,90,"West-Air Services Oy",2015,1,"2015-03-04",,,,,,,,,"2015-12-31"
36,73,"Aratto Oy",2015,2,"2015-03-09",,"2015-03-17",,,"2015-03-17","helmikuun palkat ei täsmää ilmoituksen kanssa",,"2.5","2015-12-31"
37,95,"As Oy Mesikukankuja 2-4",2015,2,,,,,,,,,,"2015-12-31"
